word_type,spanish_singular,spanish_plural,english
noun,el amor,los amores,love
noun,la casa,las casas,the house
noun,en casa,,at home
noun,la cocina,las cocinas,the kitchen; the cooking
noun,el cuaderno,los cuadernos,the notebook
noun,el diccionario,los diccionarios,the dictionary
noun,la escuela,las escuelas,the school
noun,el español,los españoles (?),The Spanish languge; Spanish
noun,el examen,los examenos (?),the test
noun,mi examen de español,--,my Spanish test
noun,la frase,las frases,the sentence
noun,la gramática,las gramáticas,the grammar
noun,el hermano,los hermanos,the brother
noun,el lápiz,los lápizos (?),the pencil
noun,la lección,las lecciónes,the lesson
noun,el libro,los libros,the book
noun,la madre,las madres,the mother
noun,la muchacha,las muchachas,the girl
noun,la noche,las noches,the night; evening
noun,el padre,los padres,the father
noun,el papel,los papeles,the paper
noun,la pasión,las pasiónes,the passion
noun,el periódico,los periódicos,the newspaper
noun,el programa,los programas ,the program
noun,mi programa favorito,--,my favorite program
noun,la radio,las radios,the radio
noun,la sala,las salas,the living room
noun,la televisión,(?),the television
noun,la voz,las voces,the voice
adjective,estudioso;a,--,studious
adjective,fácil,--,easy
adjective,favorito; a,--,favorite
adjective,importante,--,important
adjective,interesante,--,interesting
adjective,mi,--,my
adjective,necessario; a,--,necessary
adjective,posible,--,possible
adjective,su,--,her
verb,copia,--,(she) copies
verb,entra,--,(he) enters
verb,es,--,(it) is; (she) is
verb,no es,-- ,(it) is not
verb,escucha,-- ,(she) listens to; is
verb,estudia,--,(she) studies; is studying
verb,estudiar,--,to study
verb,habla,--,speaks
verb,hay,--,there are; there is
verb,lee,--,(he) reads; is reading
verb,mirar,--,to look at; to watch
verb,necesito,--,I need
verb,quiero,--,I want
other words,con,--,with
other words,de ,--,of; in; from
other words,ella,--,she
other words,en,--,in; into
other words,mañana,--,tomorrow
other words,muy,--,very
other words,no,--,no; not
other words,por favor,--,please
other words,sí,--,yes; yes; indeed!
other words,también,--,also; too
other words,y,--,and
other words,yo,--,I
other words,que,--,what
other words,quien,--,who
other words,quienes,--,who all
other words,cuál/cuáles,--,which
other words,cuando,--,when
other words,dónde,--,where
other words,por qué,--,why
other words,como,--,how
other words,cuanto/cuanta,--,how much
other words,cuantos/cuantas,--,how many